Beds,State,County,Location
201,West Virginia,Mason,"Mason, West Virginia"
127,West Virginia,Marshall,"Marshall, West Virginia"
25,West Virginia,Boone,"Boone, West Virginia"
25,West Virginia,Braxton,"Braxton, West Virginia"
241,West Virginia,Berkeley,"Berkeley, West Virginia"
25,West Virginia,Pocahontas,"Pocahontas, West Virginia"
50,West Virginia,Preston,"Preston, West Virginia"
220,West Virginia,Lewis,"Lewis, West Virginia"
140,West Virginia,Logan,"Logan, West Virginia"
51,West Virginia,Upshur,"Upshur, West Virginia"
12,West Virginia,Tyler,"Tyler, West Virginia"
146,Illinois,Effingham,"Effingham, Illinois"
100,Kentucky,Mason,"Mason, Kentucky"
216,Kentucky,Bell,"Bell, Kentucky"
444,Illinois,Rock Island,"Rock Island, Illinois"
1045,Illinois,Sangamon,"Sangamon, Illinois"
222,Kentucky,Boyle,"Boyle, Kentucky"
549,Illinois,Champaign,"Champaign, Illinois"
75,Wisconsin,Washburn,"Washburn, Wisconsin"
75,Kentucky,Marion,"Marion, Kentucky"
90,Kentucky,Muhlenberg,"Muhlenberg, Kentucky"
25,Kentucky,Caldwell,"Caldwell, Kentucky"
180,Kentucky,Barren,"Barren, Kentucky"
185,Oklahoma,Pittsburg,"Pittsburg, Oklahoma"
216,Oklahoma,Pontotoc,"Pontotoc, Oklahoma"
25,Oklahoma,Major,"Major, Oklahoma"
52,Oklahoma,Mayes,"Mayes, Oklahoma"
33,Oklahoma,Latimer,"Latimer, Oklahoma"
20,Illinois,Mason,"Mason, Illinois"
786,Kentucky,Christian,"Christian, Kentucky"
374,Kentucky,Pike,"Pike, Kentucky"
54,Kentucky,Clark,"Clark, Kentucky"
358,Kentucky,Perry,"Perry, Kentucky"
188,Illinois,Macon,"Macon, Illinois"
343,Illinois,Mchenry,"Mchenry, Illinois"
200,Illinois,Mclean,"Mclean, Illinois"
50,New Hampshire,Carroll,"Carroll, New Hampshire"
169,New Hampshire,Cheshire,"Cheshire, New Hampshire"
496,New Hampshire,Grafton,"Grafton, New Hampshire"
58,Oklahoma,Delaware,"Delaware, Oklahoma"
137,New Hampshire,Belknap,"Belknap, New Hampshire"
527,Kentucky,Daviess,"Daviess, Kentucky"
409,Maryland,Dorchester,"Dorchester, Maryland"
436,Oklahoma,Garfield,"Garfield, Oklahoma"
79,Oklahoma,Ellis,"Ellis, Oklahoma"
49,Oklahoma,Jackson,"Jackson, Oklahoma"
25,Oklahoma,Haskell,"Haskell, Oklahoma"
1880,Illinois,Dupage,"Dupage, Illinois"
25,Oklahoma,Greer,"Greer, Oklahoma"
99,Oklahoma,Grady,"Grady, Oklahoma"
115,Oklahoma,Woodward,"Woodward, Oklahoma"
26,Oklahoma,Noble,"Noble, Oklahoma"
538,Oklahoma,Comanche,"Comanche, Oklahoma"
95,Oklahoma,Creek,"Creek, Oklahoma"
216,Oklahoma,Payne,"Payne, Oklahoma"
64,Oklahoma,Choctaw,"Choctaw, Oklahoma"
212,Oklahoma,Carter,"Carter, Oklahoma"
32,Oklahoma,Seminole,"Seminole, Oklahoma"
3832,Oklahoma,Tulsa,"Tulsa, Oklahoma"
37,Oklahoma,Tillman,"Tillman, Oklahoma"
81,Oklahoma,Rogers,"Rogers, Oklahoma"
138,Oklahoma,Stephens,"Stephens, Oklahoma"
93,Oklahoma,Beckham,"Beckham, Oklahoma"
100,Oklahoma,Wagoner,"Wagoner, Oklahoma"
18,South Dakota,Haakon,"Haakon, South Dakota"
262,Tennessee,Mcminn,"Mcminn, Tennessee"
66,New Hampshire,Coos,"Coos, New Hampshire"
50,Illinois,Montgomery,"Montgomery, Illinois"
23,Illinois,Warren,"Warren, Illinois"
135,Illinois,Whiteside,"Whiteside, Illinois"
46,Illinois,Schuyler,"Schuyler, Illinois"
25,Illinois,Logan,"Logan, Illinois"
25,Illinois,Massac,"Massac, Illinois"
25,Illinois,Edgar,"Edgar, Illinois"
476,Delaware,Sussex,"Sussex, Delaware"
54,Alaska,Ketchikan Gateway,"Ketchikan Gateway, Alaska"
217,Alaska,Fairbanks North Star,"Fairbanks North Star, Alaska"
36,Alaska,Nome,"Nome, Alaska"
74,Alaska,Matanuska-Susitna,"Matanuska-Susitna, Alaska"
44,Alaska,Valdez-Cordova,"Valdez-Cordova, Alaska"
17,Alaska,Northwest Arctic,"Northwest Arctic, Alaska"
225,Wyoming,Uinta,"Uinta, Wyoming"
231,Montana,Flathead,"Flathead, Montana"
255,Tennessee,Maury,"Maury, Tennessee"
143,Montana,Lewis And Clark,"Lewis And Clark, Montana"
835,Tennessee,Madison,"Madison, Tennessee"
142,Tennessee,Henry,"Henry, Tennessee"
902,Tennessee,Washington,"Washington, Tennessee"
82,Tennessee,Overton,"Overton, Tennessee"
301,Tennessee,Anderson,"Anderson, Tennessee"
25,Tennessee,Bledsoe,"Bledsoe, Tennessee"
25,Tennessee,Benton,"Benton, Tennessee"
471,Tennessee,Blount,"Blount, Tennessee"
109,Tennessee,Robertson,"Robertson, Tennessee"
10,Tennessee,Hancock,"Hancock, Tennessee"
45,Tennessee,Henderson,"Henderson, Tennessee"
25,Tennessee,Rhea,"Rhea, Tennessee"
78,Kansas,Coffey,"Coffey, Kansas"
25,Kansas,Greenwood,"Greenwood, Kansas"
81,Kansas,Barton,"Barton, Kansas"
172,Kansas,Ellis,"Ellis, Kansas"
137,Kansas,Dickinson,"Dickinson, Kansas"
62,Kansas,Cowley,"Cowley, Kansas"
87,Kansas,Mcpherson,"Mcpherson, Kansas"
141,Kansas,Harvey,"Harvey, Kansas"
49,Kansas,Wilson,"Wilson, Kansas"
25,Kansas,Norton,"Norton, Kansas"
177,Kansas,Pottawatomie,"Pottawatomie, Kansas"
214,Kansas,Saline,"Saline, Kansas"
49,Kansas,Nemaha,"Nemaha, Kansas"
50,Kansas,Greeley,"Greeley, Kansas"
154,Puerto Rico,Aguadilla,"Aguadilla, Puerto Rico"
441,Puerto Rico,Mayaguez,"Mayaguez, Puerto Rico"
207,Puerto Rico,San German,"San German, Puerto Rico"
208,Puerto Rico,Cayey,"Cayey, Puerto Rico"
357,Texas,Brazoria,"Brazoria, Texas"
21,Texas,Reagan,"Reagan, Texas"
217,Florida,Union,"Union, Florida"
4751,Florida,Orange,"Orange, Florida"
1310,Florida,Escambia,"Escambia, Florida"
52,Texas,Eastland,"Eastland, Texas"
37,Texas,Freestone,"Freestone, Texas"
44,Texas,Wilson,"Wilson, Texas"
86,Texas,Gillespie,"Gillespie, Texas"
37,Texas,Upshur,"Upshur, Texas"
34,Texas,Gonzales,"Gonzales, Texas"
67,Texas,Young,"Young, Texas"
25,Texas,Medina,"Medina, Texas"
58,Texas,Jack,"Jack, Texas"
59,Texas,Jasper,"Jasper, Texas"
15,Texas,Kimble,"Kimble, Texas"
326,Texas,Kerr,"Kerr, Texas"
354,Texas,Hays,"Hays, Texas"
48,Texas,Hockley,"Hockley, Texas"
68,Texas,Cass,"Cass, Texas"
30,Texas,Llano,"Llano, Texas"
164,Texas,Titus,"Titus, Texas"
669,Texas,Ector,"Ector, Texas"
156,Texas,Anderson,"Anderson, Texas"
393,Texas,Lamar,"Lamar, Texas"
115,Texas,Gray,"Gray, Texas"
88,Texas,Hale,"Hale, Texas"
25,Texas,Reeves,"Reeves, Texas"
1105,Texas,Fort Bend,"Fort Bend, Texas"
170,Texas,Rockwall,"Rockwall, Texas"
390,Kentucky,Hopkins,"Hopkins, Kentucky"
208,Nebraska,Sarpy,"Sarpy, Nebraska"
45,Texas,Trinity,"Trinity, Texas"
25,Texas,Uvalde,"Uvalde, Texas"
24,Nebraska,Seward,"Seward, Nebraska"
861,Texas,Mclennan,"Mclennan, Texas"
41,Texas,Wheeler,"Wheeler, Texas"
258,New Mexico,Santa Fe,"Santa Fe, New Mexico"
71,Texas,Burnet,"Burnet, Texas"
348,Texas,Comal,"Comal, Texas"
195,Ohio,Van Wert,"Van Wert, Ohio"
233,Texas,Ellis,"Ellis, Texas"
251,Virginia,Washington,"Washington, Virginia"
25,Idaho,Blaine,"Blaine, Idaho"
3640,Indiana,Marion,"Marion, Indiana"
83,Texas,Hood,"Hood, Texas"
79,Texas,Limestone,"Limestone, Texas"
75,Texas,Lamb,"Lamb, Texas"
59,Texas,Caldwell,"Caldwell, Texas"
669,Texas,Midland,"Midland, Texas"
723,Texas,Victoria,"Victoria, Texas"
1337,Texas,Smith,"Smith, Texas"
504,Hawaii,Hawaii,"Hawaii, Hawaii"
578,Texas,Webb,"Webb, Texas"
349,Alabama,Shelby,"Shelby, Alabama"
782,Alabama,Houston,"Houston, Alabama"
74,Alabama,Barbour,"Barbour, Alabama"
85,Alabama,Clarke,"Clarke, Alabama"
142,Alabama,Escambia,"Escambia, Alabama"
120,Alabama,Marion,"Marion, Alabama"
476,Alabama,Morgan,"Morgan, Alabama"
739,Alabama,Etowah,"Etowah, Alabama"
514,Iowa,Pottawattamie,"Pottawattamie, Iowa"
153,Idaho,Bingham,"Bingham, Idaho"
332,Idaho,Bonneville,"Bonneville, Idaho"
219,Idaho,Bannock,"Bannock, Idaho"
22,Illinois,Mercer,"Mercer, Illinois"
1747,California,San Luis Obispo,"San Luis Obispo, California"
748,California,Placer,"Placer, California"
299,California,Humboldt,"Humboldt, California"
17,California,Mono,"Mono, California"
1729,California,Stanislaus,"Stanislaus, California"
2426,Colorado,Denver,"Denver, Colorado"
456,Colorado,Douglas,"Douglas, Colorado"
79,Colorado,Baca,"Baca, Colorado"
847,Georgia,Gwinnett,"Gwinnett, Georgia"
344,Georgia,Carroll,"Carroll, Georgia"
25,Georgia,Candler,"Candler, Georgia"
25,Georgia,Putnam,"Putnam, Georgia"
158,Georgia,Colquitt,"Colquitt, Georgia"
49,Georgia,Evans,"Evans, Georgia"
56,Georgia,Barrow,"Barrow, Georgia"
25,Georgia,Miller,"Miller, Georgia"
146,Georgia,Rockdale,"Rockdale, Georgia"
37,Georgia,Jefferson,"Jefferson, Georgia"
25,Georgia,Jeff Davis,"Jeff Davis, Georgia"
45,Georgia,Union,"Union, Georgia"
25,Georgia,Jenkins,"Jenkins, Georgia"
1671,Louisiana,Orleans,"Orleans, Louisiana"
125,Louisiana,Ascension,"Ascension, Louisiana"
187,Louisiana,St. Mary,"St. Mary, Louisiana"
367,Louisiana,Terrebonne,"Terrebonne, Louisiana"
95,Louisiana,Vermilion,"Vermilion, Louisiana"
20,Louisiana,St. James,"St. James, Louisiana"
82,Louisiana,Morehouse,"Morehouse, Louisiana"
506,Louisiana,East Feliciana,"East Feliciana, Louisiana"
11,Louisiana,East Carroll,"East Carroll, Louisiana"
404,Louisiana,Bossier,"Bossier, Louisiana"
84,Louisiana,La Salle,"La Salle, Louisiana"
55,Louisiana,Avoyelles,"Avoyelles, Louisiana"
788,Louisiana,Calcasieu,"Calcasieu, Louisiana"
25,Wisconsin,Lafayette,"Lafayette, Wisconsin"
25,Wisconsin,Rusk,"Rusk, Wisconsin"
1305,Wisconsin,Waukesha,"Waukesha, Wisconsin"
592,California,Butte,"Butte, California"
201,Puerto Rico,Guayama,"Guayama, Puerto Rico"
227,Puerto Rico,Humacao,"Humacao, Puerto Rico"
8,Ohio,Lawrence,"Lawrence, Ohio"
262,Ohio,Licking,"Licking, Ohio"
840,Ohio,Lorain,"Lorain, Ohio"
588,Arizona,Mohave,"Mohave, Arizona"
9767,Arizona,Maricopa,"Maricopa, Arizona"
47,New Mexico,Los Alamos,"Los Alamos, New Mexico"
161,New Mexico,Eddy,"Eddy, New Mexico"
603,New Mexico,Dona Ana,"Dona Ana, New Mexico"
80,New Mexico,Rio Arriba,"Rio Arriba, New Mexico"
106,New Mexico,Curry,"Curry, New Mexico"
332,Arizona,Yavapai,"Yavapai, Arizona"
579,Utah,Davis,"Davis, Utah"
442,Indiana,Clark,"Clark, Indiana"
50,Nevada,Elko,"Elko, Nevada"
1690,Nevada,Washoe,"Washoe, Nevada"
35,Indiana,Adams,"Adams, Indiana"
15,Indiana,Blackford,"Blackford, Indiana"
104,Indiana,Dearborn,"Dearborn, Indiana"
90,Ohio,Shelby,"Shelby, Ohio"
2932,Utah,Salt Lake,"Salt Lake, Utah"
39,New York,Orleans,"Orleans, New York"
25,Utah,San Juan,"San Juan, Utah"
406,Indiana,Elkhart,"Elkhart, Indiana"
72,Indiana,Dekalb,"Dekalb, Indiana"
25,Indiana,Decatur,"Decatur, Indiana"
46,Indiana,Jasper,"Jasper, Indiana"
459,Iowa,Black Hawk,"Black Hawk, Iowa"
1740,Ohio,Stark,"Stark, Ohio"
217,Iowa,Wapello,"Wapello, Iowa"
160,Indiana,Marshall,"Marshall, Indiana"
3580,Pennsylvania,Montgomery,"Montgomery, Pennsylvania"
50,South Dakota,Hutchinson,"Hutchinson, South Dakota"
25,South Dakota,Brule,"Brule, South Dakota"
118,South Dakota,Lincoln,"Lincoln, South Dakota"
174,Connecticut,Tolland,"Tolland, Connecticut"
35,Indiana,Jay,"Jay, Indiana"
12,South Dakota,Faulk,"Faulk, South Dakota"
299,Indiana,Jefferson,"Jefferson, Indiana"
25,South Dakota,Roberts,"Roberts, South Dakota"
2980,Connecticut,Hartford,"Hartford, Connecticut"
2066,Connecticut,Fairfield,"Fairfield, Connecticut"
215,Connecticut,Middlesex,"Middlesex, Connecticut"
272,Connecticut,Litchfield,"Litchfield, Connecticut"
254,Indiana,Howard,"Howard, Indiana"
25,Indiana,Harrison,"Harrison, Indiana"
673,Florida,Okaloosa,"Okaloosa, Florida"
15,Florida,Suwannee,"Suwannee, Florida"
1208,Florida,Leon,"Leon, Florida"
10,South Dakota,Deuel,"Deuel, South Dakota"
4071,Florida,Duval,"Duval, Florida"
20,South Dakota,Marshall,"Marshall, South Dakota"
1253,Florida,Gadsden,"Gadsden, Florida"
752,Florida,Bay,"Bay, Florida"
1163,Florida,Baker,"Baker, Florida"
47,South Dakota,Lake,"Lake, South Dakota"
164,Pennsylvania,Venango,"Venango, Pennsylvania"
1299,Pennsylvania,Bucks,"Bucks, Pennsylvania"
1247,Pennsylvania,Berks,"Berks, Pennsylvania"
598,Pennsylvania,Blair,"Blair, Pennsylvania"
594,Pennsylvania,Cambria,"Cambria, Pennsylvania"
1286,Pennsylvania,Chester,"Chester, Pennsylvania"
1247,Pennsylvania,Luzerne,"Luzerne, Pennsylvania"
1104,Pennsylvania,Lackawanna,"Lackawanna, Pennsylvania"
84,Pennsylvania,Jefferson,"Jefferson, Pennsylvania"
138,Pennsylvania,Mckean,"Mckean, Pennsylvania"
416,Pennsylvania,Franklin,"Franklin, Pennsylvania"
410,Arizona,Yuma,"Yuma, Arizona"
80,Pennsylvania,Elk,"Elk, Pennsylvania"
1162,Pennsylvania,Delaware,"Delaware, Pennsylvania"
1223,Pennsylvania,Erie,"Erie, Pennsylvania"
7775,Pennsylvania,Allegheny,"Allegheny, Pennsylvania"
25,Indiana,Randolph,"Randolph, Indiana"
25,Indiana,Putnam,"Putnam, Indiana"
25,Indiana,Clay,"Clay, Indiana"
139,Missouri,Howell,"Howell, Missouri"
25,Georgia,Calhoun,"Calhoun, Georgia"
47,Georgia,Bacon,"Bacon, Georgia"
181,Indiana,Warrick,"Warrick, Indiana"
251,Indiana,Wayne,"Wayne, Indiana"
45,Arizona,Apache,"Apache, Arizona"
813,Indiana,Tippecanoe,"Tippecanoe, Indiana"
270,Ohio,Marion,"Marion, Ohio"
23,Georgia,Mitchell,"Mitchell, Georgia"
36,South Dakota,Potter,"Potter, South Dakota"
72,Georgia,Mcduffie,"Mcduffie, Georgia"
49,South Dakota,Brookings,"Brookings, South Dakota"
294,Ohio,Clark,"Clark, Ohio"
53,Virginia,Bristol,"Bristol, Virginia"
623,New York,Niagara,"Niagara, New York"
93,Indiana,Jackson,"Jackson, Indiana"
196,Ohio,Wood,"Wood, Ohio"
297,Indiana,Floyd,"Floyd, Indiana"
25,South Dakota,Clay,"Clay, South Dakota"
37,South Dakota,Charles Mix,"Charles Mix, South Dakota"
773,Maine,Penobscot,"Penobscot, Maine"
45,Tennessee,Mcnairy,"Mcnairy, Tennessee"
41,Minnesota,Renville,"Renville, Minnesota"
114,Maine,Hancock,"Hancock, Maine"
216,Oregon,Coos,"Coos, Oregon"
58,New York,Chenango,"Chenango, New York"
1708,Virginia,Fairfax,"Fairfax, Virginia"
143,Virginia,Northampton,"Northampton, Virginia"
70,Virginia,Culpeper,"Culpeper, Virginia"
25,Oklahoma,Harper,"Harper, Oklahoma"
100,Virginia,Stafford,"Stafford, Virginia"
377,Virginia,Smyth,"Smyth, Virginia"
108,Virginia,Wythe,"Wythe, Virginia"
60,Virginia,Wise,"Wise, Virginia"
1031,Virginia,Henrico,"Henrico, Virginia"
78,Virginia,Russell,"Russell, Virginia"
231,Virginia,Tazewell,"Tazewell, Virginia"
14,Idaho,Butte,"Butte, Idaho"
130,Virginia,Manassas,"Manassas, Virginia"
794,Virginia,Salem,"Salem, Virginia"
76,Virginia,Lancaster,"Lancaster, Virginia"
99,Virginia,Mecklenburg,"Mecklenburg, Virginia"
25,Idaho,Cassia,"Cassia, Idaho"
90,Virginia,Franklin City,"Franklin City, Virginia"
262,Virginia,Norton,"Norton, Virginia"
700,Virginia,Virginia Beach,"Virginia Beach, Virginia"
462,Virginia,Loudoun,"Loudoun, Virginia"
357,Virginia,James City,"James City, Virginia"
200,Vermont,Washington,"Washington, Vermont"
229,Vermont,Windham,"Windham, Vermont"
68,Tennessee,Marion,"Marion, Tennessee"
25,South Carolina,Edgefield,"Edgefield, South Carolina"
25,South Carolina,Fairfield,"Fairfield, South Carolina"
1760,South Carolina,Greenville,"Greenville, South Carolina"
143,South Carolina,Union,"Union, South Carolina"
82,Ohio,Pickaway,"Pickaway, Ohio"
124,South Carolina,Marion,"Marion, South Carolina"
755,South Carolina,Anderson,"Anderson, South Carolina"
8368,Ohio,Cuyahoga,"Cuyahoga, Ohio"
25,Oklahoma,Woods,"Woods, Oklahoma"
25,Oklahoma,Okfuskee,"Okfuskee, Oklahoma"
25,Oklahoma,Nowata,"Nowata, Oklahoma"
25,Vermont,Orleans,"Orleans, Vermont"
148,Oklahoma,Bryan,"Bryan, Oklahoma"
42,Oklahoma,Caddo,"Caddo, Oklahoma"
123,Oklahoma,Canadian,"Canadian, Oklahoma"
47,Oklahoma,Texas,"Texas, Oklahoma"
26,Oklahoma,Sequoyah,"Sequoyah, Oklahoma"
24,Oklahoma,Beaver,"Beaver, Oklahoma"
25,Oklahoma,Atoka,"Atoka, Oklahoma"
67,Oklahoma,Adair,"Adair, Oklahoma"
14,Oklahoma,Washita,"Washita, Oklahoma"
429,Oklahoma,Muskogee,"Muskogee, Oklahoma"
100,Oklahoma,Cherokee,"Cherokee, Oklahoma"
15,Oklahoma,Roger Mills,"Roger Mills, Oklahoma"
25,Oklahoma,Marshall,"Marshall, Oklahoma"
18,Oklahoma,Dewey,"Dewey, Oklahoma"
59,Tennessee,Lincoln,"Lincoln, Tennessee"
25,Vermont,Caledonia,"Caledonia, Vermont"
207,West Virginia,Marion,"Marion, West Virginia"
25,Tennessee,Trousdale,"Trousdale, Tennessee"
25,Tennessee,Lauderdale,"Lauderdale, Tennessee"
137,Tennessee,Obion,"Obion, Tennessee"
237,Tennessee,Bedford,"Bedford, Tennessee"
59,Tennessee,Monroe,"Monroe, Tennessee"
270,Tennessee,Montgomery,"Montgomery, Tennessee"
60,Tennessee,Cannon,"Cannon, Tennessee"
115,Tennessee,Carroll,"Carroll, Tennessee"
85,Tennessee,Claiborne,"Claiborne, Tennessee"
189,Tennessee,Cumberland,"Cumberland, Tennessee"
40,Tennessee,Decatur,"Decatur, Tennessee"
278,Tennessee,Hamblen,"Hamblen, Tennessee"
225,Tennessee,Dyer,"Dyer, Tennessee"
71,Tennessee,Dekalb,"Dekalb, Tennessee"
85,Tennessee,Fentress,"Fentress, Tennessee"
78,Tennessee,Wayne,"Wayne, Tennessee"
245,Tennessee,Wilson,"Wilson, Tennessee"
560,Ohio,Jefferson,"Jefferson, Ohio"
99,Iowa,Clay,"Clay, Iowa"
120,Iowa,Buchanan,"Buchanan, Iowa"
470,Iowa,Dubuque,"Dubuque, Iowa"
1820,Iowa,Polk,"Polk, Iowa"
60,Georgia,Cook,"Cook, Georgia"
2470,Georgia,Richmond,"Richmond, Georgia"
1294,Georgia,Bibb,"Bibb, Georgia"
25,Georgia,Liberty,"Liberty, Georgia"
96,Georgia,Stephens,"Stephens, Georgia"
1628,Louisiana,Jefferson,"Jefferson, Louisiana"
49,Louisiana,Cameron,"Cameron, Louisiana"
679,Louisiana,Ouachita,"Ouachita, Louisiana"
76,Louisiana,Allen,"Allen, Louisiana"
99,Louisiana,Winn,"Winn, Louisiana"
88,Georgia,Coffee,"Coffee, Georgia"
13,Georgia,Dade,"Dade, Georgia"
2604,Georgia,Dekalb,"Dekalb, Georgia"
939,Georgia,Dougherty,"Dougherty, Georgia"
6,Louisiana,Assumption,"Assumption, Louisiana"
33,Iowa,Cass,"Cass, Iowa"
121,Iowa,Lee,"Lee, Iowa"
25,Iowa,Ida,"Ida, Iowa"
25,Iowa,Jefferson,"Jefferson, Iowa"
25,Iowa,Allamakee,"Allamakee, Iowa"
50,Iowa,Crawford,"Crawford, Iowa"
25,Iowa,Van Buren,"Van Buren, Iowa"
1383,Iowa,Johnson,"Johnson, Iowa"
25,Iowa,Osceola,"Osceola, Iowa"
25,Iowa,Pocahontas,"Pocahontas, Iowa"
32,Iowa,Ringgold,"Ringgold, Iowa"
25,Iowa,Shelby,"Shelby, Iowa"
290,Iowa,Sioux,"Sioux, Iowa"
47,Iowa,Wright,"Wright, Iowa"
25,Iowa,Washington,"Washington, Iowa"
25,Iowa,Wayne,"Wayne, Iowa"
25,Iowa,Winneshiek,"Winneshiek, Iowa"
45,Michigan,Manistee,"Manistee, Michigan"
88,Michigan,Huron,"Huron, Michigan"
413,Michigan,Muskegon,"Muskegon, Michigan"
968,Michigan,Saginaw,"Saginaw, Michigan"
1123,Michigan,Ingham,"Ingham, Michigan"
61,Minnesota,Carlton,"Carlton, Minnesota"
572,Virginia,Petersburg,"Petersburg, Virginia"
1125,Minnesota,St. Louis,"St. Louis, Minnesota"
317,Michigan,Calhoun,"Calhoun, Michigan"
106,Minnesota,Itasca,"Itasca, Minnesota"
104,Minnesota,Wright,"Wright, Minnesota"
86,Minnesota,Isanti,"Isanti, Minnesota"
74,Minnesota,Lyon,"Lyon, Minnesota"
44,Minnesota,Lincoln,"Lincoln, Minnesota"
588,Minnesota,Stearns,"Stearns, Minnesota"
14,Minnesota,Norman,"Norman, Minnesota"
92,Minnesota,Polk,"Polk, Minnesota"
40,Minnesota,Big Stone,"Big Stone, Minnesota"
115,Minnesota,Mcleod,"Mcleod, Minnesota"
4668,Minnesota,Hennepin,"Hennepin, Minnesota"
71,Minnesota,Todd,"Todd, Minnesota"
32,Minnesota,Lac Qui Parle,"Lac Qui Parle, Minnesota"
18,Minnesota,Mahnomen,"Mahnomen, Minnesota"
272,Minnesota,Blue Earth,"Blue Earth, Minnesota"
142,Minnesota,Scott,"Scott, Minnesota"
28,Minnesota,Mille Lacs,"Mille Lacs, Minnesota"
25,Minnesota,Murray,"Murray, Minnesota"
2120,Minnesota,Olmsted,"Olmsted, Minnesota"
44,Minnesota,Pipestone,"Pipestone, Minnesota"
30,Minnesota,Grant,"Grant, Minnesota"
17,Minnesota,Nicollet,"Nicollet, Minnesota"
118,Minnesota,Beltrami,"Beltrami, Minnesota"
55,Minnesota,Yellow Medicine,"Yellow Medicine, Minnesota"
25,Minnesota,Clearwater,"Clearwater, Minnesota"
20,Minnesota,Jackson,"Jackson, Minnesota"
49,Minnesota,Morrison,"Morrison, Minnesota"
50,Minnesota,Hubbard,"Hubbard, Minnesota"
49,Minnesota,Wadena,"Wadena, Minnesota"
43,Minnesota,Faribault,"Faribault, Minnesota"
4324,Missouri,St. Louis City,"St. Louis City, Missouri"
38,Mississippi,Webster,"Webster, Mississippi"
2463,Mississippi,Hinds,"Hinds, Mississippi"
44,North Dakota,Mcintosh,"Mcintosh, North Dakota"
24,North Dakota,Mckenzie,"Mckenzie, North Dakota"
65,Oregon,Baker,"Baker, Oregon"
98,Oregon,Linn,"Linn, Oregon"
25,Iowa,Sac,"Sac, Iowa"
25,Iowa,Kossuth,"Kossuth, Iowa"
203,Iowa,Carroll,"Carroll, Iowa"
35,Iowa,Buena Vista,"Buena Vista, Iowa"
125,Oregon,Josephine,"Josephine, Oregon"
25,Iowa,Montgomery,"Montgomery, Iowa"
25,Iowa,Audubon,"Audubon, Iowa"
25,Wyoming,Converse,"Converse, Wyoming"
38,Wyoming,Lincoln,"Lincoln, Wyoming"
2782,New Jersey,Middlesex,"Middlesex, New Jersey"
2058,New Jersey,Mercer,"Mercer, New Jersey"
2005,New Jersey,Morris,"Morris, New Jersey"
2176,New Jersey,Monmouth,"Monmouth, New Jersey"
49,Iowa,Dickinson,"Dickinson, Iowa"
176,Ohio,Greene,"Greene, Ohio"
130,Arizona,Navajo,"Navajo, Arizona"
5287,Ohio,Hamilton,"Hamilton, Ohio"
176,Ohio,Hancock,"Hancock, Ohio"
31,Ohio,Henry,"Henry, Ohio"
139,Ohio,Huron,"Huron, Ohio"
561,Ohio,Lake,"Lake, Ohio"
25,Iowa,Greene,"Greene, Iowa"
25,Iowa,Guthrie,"Guthrie, Iowa"
94,Ohio,Madison,"Madison, Ohio"
112,New Mexico,Otero,"Otero, New Mexico"
267,New Mexico,San Juan,"San Juan, New Mexico"
30,New Mexico,Roosevelt,"Roosevelt, New Mexico"
49,Iowa,Humboldt,"Humboldt, Iowa"
50,New Mexico,Cibola,"Cibola, New Mexico"
477,Utah,Weber,"Weber, Utah"
25,Texas,Comanche,"Comanche, Texas"
261,Utah,Washington,"Washington, Utah"
241,Ohio,Medina,"Medina, Ohio"
88,Ohio,Mercer,"Mercer, Ohio"
193,Ohio,Miami,"Miami, Ohio"
150,Utah,Cache,"Cache, Utah"
49,Utah,Carbon,"Carbon, Utah"
72,Utah,Beaver,"Beaver, Utah"
124,Utah,Duchesne,"Duchesne, Utah"
1033,Utah,Utah,"Utah, Utah"
58,Iowa,Hardin,"Hardin, Iowa"
592,Ohio,Muskingum,"Muskingum, Ohio"
53,Utah,Box Elder,"Box Elder, Utah"
229,Nevada,Carson City,"Carson City, Nevada"
50,Iowa,Bremer,"Bremer, Iowa"
1018,Iowa,Linn,"Linn, Iowa"
60,Iowa,Jones,"Jones, Iowa"
37,Utah,Millard,"Millard, Utah"
50,Iowa,Fayette,"Fayette, Iowa"
2605,Indiana,Lake,"Lake, Indiana"
25,Iowa,Benton,"Benton, Iowa"
25,Iowa,Mitchell,"Mitchell, Iowa"
25,Iowa,Monroe,"Monroe, Iowa"
45,Iowa,Appanoose,"Appanoose, Iowa"
125,Iowa,Marshall,"Marshall, Iowa"
6,South Dakota,Mcpherson,"Mcpherson, South Dakota"
25,South Dakota,Walworth,"Walworth, South Dakota"
41,South Dakota,Gregory,"Gregory, South Dakota"
465,Connecticut,New London,"New London, Connecticut"
3045,Connecticut,New Haven,"New Haven, Connecticut"
25,South Dakota,Day,"Day, South Dakota"
346,Florida,Columbia,"Columbia, Florida"
69,Arizona,Gila,"Gila, Arizona"
43,Nebraska,Holt,"Holt, Nebraska"
25,Iowa,Hamilton,"Hamilton, Iowa"
25,Iowa,Madison,"Madison, Iowa"
1012,Pennsylvania,Westmoreland,"Westmoreland, Pennsylvania"
279,Pennsylvania,Warren,"Warren, Pennsylvania"
602,Pennsylvania,Washington,"Washington, Pennsylvania"
365,Pennsylvania,Bradford,"Bradford, Pennsylvania"
13,Nebraska,Webster,"Webster, Nebraska"
81,Nebraska,Dodge,"Dodge, Nebraska"
921,Pennsylvania,York,"York, Pennsylvania"
25,Nebraska,Cuming,"Cuming, Nebraska"
